Команда (HEX);Размер параметра команды (DEC);Тип параметра команды;Значения параметра команды (DEC);Описание команды;Размер параметра ответа (DEC);Тип параметра ответа;Значения параметра ответа (DEC);Описание ответа;Комментарии
;;;;;;;;Бит 7 - Состояние бездействия [1 - бездействие, 0 - ККТ активна];
;;;;;1;bitfield;;Байт статуса 3;
;;;;;;;;Бит 0 - Печать ККТ [1 - ККТ печатает, 0 - ККТ не печатает];
;;;;;;;;Бит 1 - Ошибка ККТ [1 - ошибка, 0 - нет ошибок];
;;;;;;;;Бит 2 - ;
;;;;;;;;Бит 3 - ;
;;;;;;;;Бит 4 - ;
;;;;;;;;Бит 5 - ;
;;;;;;;;Бит 6 - ;
;;;;;;;;Бит 7 - ;
f3;;;;Запрос статуса чека;;;;Запрос статуса чека;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;number;;Флаг печати фискального чека: ;
;;;;;;;0;не печатается;
;;;;;;;1;печатается;
;;;;;1;number;;Флаг печати нефискального чека: ;
;;;;;;;0;не печатается;
;;;;;;;1;печатается;
;;;;;1;number;;Фаза печати фискального чека: ;
;;;;;;;0;чек не открыт;
;;;;;;;1;чек открыт, продажа не совершена;
;;;;;;;2;продажа;
;;;;;;;3;оплата;
;;;;;;;4;печать сдачи;
;;;;;;;5;фиксированные строки (опционально);
;;;;;;;6;выполнено закрытие;
;;;;;;;7;сообщение в конце чека;
;;;;;;;8;выдача чека;
;;;;;;;9;открыт нефискальный чек;
f4;;;;Запрос статуса последнего чека;;;;Запрос статуса последнего чека;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;1;number;;День;
;;;;;1;number;;Месяц;
;;;;;1;number;;Год;
;;;;;1;number;;Час;
;;;;;1;number;;Минута;
;;;;;2;number;;Номер чека;
;;;;;8;money;;Итог чека;
f5;;;;Запрос статуса общих итогов;;;;Запрос статуса общих итогов;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;8;money;;Итоговая сумма прихода;
;;;;;8;money;;Итоговая сумма возвратов прихода;
;;;;;8;money;;Итоговая сумма расхода;
;;;;;8;money;;Итоговая сумма возвратов расхода;
;;;;;8;money;;Итоговая сумма коррекций прихода ;
;;;;;8;money;;Итоговая сумма коррекций расхода;
f6;;;;Запрос статуса суточных итогов;;;;Запрос статуса суточных итогов;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;2;number;;Количество чеков прихода;
;;;;;8;number;;Общая сумма прихода;
;;;;;2;number;;Количество чеков возврата прихода;
;;;;;8;money;;Итоговая сумма возвратов прихода;
;;;;;2;number;;Количество чеков расхода;
;;;;;8;money;;Итоговая сумма расхода;
;;;;;2;number;;Количество чеков возврата расхода;
;;;;;8;money;;Итоговая сумма возврата расхода;
;;;;;2;number;;Количество чеков коррекции прихода;
;;;;;8;money;;Итоговая сумма коррекции прихода;
;;;;;2;number;;Количество чеков коррекции расхода;
;;;;;8;money;;Итоговая сумма коррекции расхода;
;;;;;8;money;;Сумма наличных в денежном ящике;
f7;;;;Запрос статуса итогов чека;;;;Запрос статуса итогов чека;
;4;password;;пароль оператора;2;error#;;код ошибки;
;;;;;1;number;;порядковый номер оператора;
;;;;;8;money;;Наценка;
;;;;;8;money;;Скидка;
;;;;;8;money;;Отмена;
;;;;;8;money;;Возврат;
;;;;;8;money;;Подытог;
;;;;;8;money;;Остаток;
;;;;;2;number;;Номер чека;
;;;;;1;number;;Флаг открытия чека: ;
